id,smiles,true
CHEMBL30163,P(=O)(C#C[C@@H](C(=O)O)N)(O)O,-2.2522301235
CHEMBL29824,C1(=O)c2c(CC[C@]1(N)C)cccc2,-1.7430573372
CHEMBL282554,S(=O)(=O)(c1c[n+]([O-])ccc1)N,-1.4337006778
CHEMBL28890,c1(sc(cc1)SC)C(=N)N,-1.9974220016
CHEMBL28517,C(=O)(/N=N/C(=O)N)N,-0.3104028252
CHEMBL32841,c12c(c3occc3)ncnc1[nH]cn2,-1.6930741257
CHEMBL29207,[N+](=[N-])=CC(=O)C=C=CCCCCCC,-1.0957348957
CHEMBL281438,[C@@H]1(C(S[C@H](N1)C)(C)C)C(=O)O,-2.8775122892
CHEMBL283404,S1(=O)(=O)C[C@@H]([C@H](CS1)O)O,-0.8876800375
CHEMBL31194,c1(=O)c2c(cc(n1N)NN)[nH]cn2,-2.8845641652
CHEMBL31624,C1(=O)OC(=C)CC[C@@H]1C(C)C,-2.8045592686
CHEMBL31425,[N+](=O)(c1c(cc(cc1)F)F)[O-],-0.4897029128
CHEMBL31352,c1c(C(C)C)cccc1C(C)C,-3.3266789096
CHEMBL31747,C(=C)CCC=C,-3.5540519999
CHEMBL31808,C1(=O)OC(=C)C[C@@H](C1)C,-2.9169021197
CHEMBL31155,N1(C(=O)CCNC1)O,-2.7155160688
CHEMBL30891,C1=C[C@H](CCCC(=C1)C)C,-2.8976506148
CHEMBL31171,c12c(NCC2)ccc(c1)C[C@H](N)CC,-3.1328094894
CHEMBL447828,c1(c2c(NCC2)ccc1C[C@H](N)C)C,-3.2929882049
CHEMBL30446,N1C(=O)CNC1,-3.0548137059
CHEMBL31620,c12c(CC[C@H](C2)N)c(ccc1C)C,-3.4488536474
CHEMBL30285,c1(cc(=O)[nH]o1)[C@H](C(=O)O)N,-2.1641608366
CHEMBL30725,c12c([nH]c(=O)nc1ccc(c2O)O)C,-1.3672488193
CHEMBL33063,c1(c(CO)cccc1C)O,-3.0143771259
CHEMBL33432,c12nc[nH]c2cc[nH]c1=S,-2.3807803201
CHEMBL282604,C1(CC1)/C(=N/OCCC(=O)O)/C,-3.044239896
