id,smiles,pot
2.5.24,O=N(=O)c1cnc2SCCn12,-0.467
2.5.25,O=N(=O)c1cnc2n1CCS2(=O)=O,-0.342
2.6.1,Cn2cc(N(=O)=O)c1cccnc12,-0.566
2.6.2,O=N(=O)c1cn(CCBr)c2ncccc12,-0.605
2.6.3,O=N(=O)c1cn(CC(O)CO)c2ncccc12,-0.607
2.6.4,O=C(Cn2cc(N(=O)=O)c1cccnc12)NCCO,-0.546
2.6.6,CCOC(=O)Cn2cccc1c(N(=O)=O)cnc12,-0.616
2.6.8,CCOC(=O)C[n+]2cccc1c(N(=O)=O)c[nH]c12,-0.626
2.8.1,O=N(=O)c2nc1ccccc1[nH]2,-0.3
2.8.2,Cn2c(=O)c1[nH]c(N(=O)=O)nc1n(C)c2=O,-0.494
2.8.3,Cn1c(N(=O)=O)nc2c1c(=O)n(C)c(=O)n2C,-0.205
2.8.4,O=N(=O)c2cc1ccccc1o2,-0.292
2.8.5,O=N(=O)c2cc1cccc(O)c1o2,-0.288
2.8.6,COc1cccc2cc(N(=O)=O)oc12,-0.296
2.8.7,O=N(=O)c2cc1cc(O)ccc1o2,-0.285
2.8.8,COc2ccc1oc(N(=O)=O)cc1c2,-0.292
2.8.9,O=N(=O)c1ccncc1,-0.191
2.8.10,O=N(=O)c1cccs1,-0.395
2.8.11,O=c1[nH]cc(N(=O)=O)c(=O)[nH]1,-0.527
2.8.12,CC1(N(=O)=O)C(=O)NC(=O)NC1O,-0.405
2.8.13,CCN1CC[n+]2cc(N(=O)=O)ccc12,-0.356
2.8.14,O=N(=O)c3ccc2N(c1ccccc1)CC[n+]2c3,-0.335
3.1.2,C[n+]1ccccc1c2cccc[n+]2C,-0.72
3.2.1,c3cc[n+]2cc[n+]1ccccc1c2c3,-0.27
3.2.2,Cc2c[n+]1ccccc1c3cccc[n+]23,-0.3
3.2.3,c4ccc(c2c[n+]1ccccc1c3cccc[n+]23)cc4,-0.27
3.3.1,c3cc[n+]2CC[n+]1ccccc1c2c3,-0.37
3.3.4,N#Cc3ccc2c1cccc[n+]1CC[n+]2c3,0
3.3.5,Cc2cccc3c1cccc[n+]1CC[n+]23,-0.41
3.3.6,CC3C[n+]1ccccc1c2cccc[n+]23,-0.35
3.3.7,COc3ccc2c1cccc[n+]1CC[n+]2c3,-0.45
3.3.8,COC(=O)c3ccc2c1cccc[n+]1CC[n+]2c3,-0.14
3.3.9,CCc2cccc3c1cccc[n+]1CC[n+]23,-0.42
3.3.10,CCOc3ccc2c1cccc[n+]1CC[n+]2c3,-0.44
3.3.11,Cc2ccc[n+]3CC[n+]1cccc(C)c1c23,-0.59
3.3.12,Cc3cc[n+]2CC[n+]1ccc(C)cc1c2c3,-0.49
3.3.13,Cc3ccc2c1ccc(C)c[n+]1CC[n+]2c3,-0.48
3.3.14,Cc2cccc3c1cccc(C)[n+]1CC[n+]23,-0.48
3.3.15,CC3C(C)[n+]1ccccc1c2cccc[n+]23,-0.35
3.3.16,CCCOc3ccc2c1cccc[n+]1CC[n+]2c3,-0.44
3.3.17,Cc3cc2c1cc(C)c(C)c[n+]1CC[n+]2cc3C,-0.613
3.3.18,c4ccc(c2cccc3c1cccc[n+]1CC[n+]23)nc4,-0.32
3.3.19,c4ccc(C3C[n+]1ccccc1c2cccc[n+]23)cc4,-0.29
3.4.1,c3cc[n+]2CCC[n+]1ccccc1c2c3,-0.556
3.4.2,Cc2cccc3c1cccc[n+]1CCC[n+]23,-0.59
3.4.3,COc3ccc2c1cccc[n+]1CCC[n+]2c3,-0.63
3.4.4,Cc3cc[n+]2CCC[n+]1ccc(C)cc1c2c3,-0.69
3.4.5,Cc3ccc2c1ccc(C)c[n+]1CCC[n+]2c3,-0.664
3.4.6,Cc3cc2c1cc(C)c(C)c[n+]1CCC[n+]2cc3C,-0.775
3.5.1,c3cc[n+]2CCCC[n+]1ccccc1c2c3,-0.65
3.5.2,Cc3cc[n+]2CCCC[n+]1ccc(C)cc1c2c3,-0.735
3.5.3,Cc3cc2c1cc(C)c(C)c[n+]1CCCC[n+]2cc3C,-0.832
3.6.1,c1c[nH+]c3c(c1)ccc2ccc[nH+]c23,-0.54
3.6.2,C[n+]3cccc2ccc1ccc[n+](C)c1c23,-0.51
3.6.3,c1cc2ccc3ccc[n+]4CC[n+](c1)c2c34,-0.28
3.6.4,c1cc2ccc3ccc[n+]4CCC[n+](c1)c2c34,-0.27
3.6.5,Clc1cc[n+]2CCC[n+]4cccc3ccc1c2c34,-0.11
3.6.6,Cc1cc[n+]2CCC[n+]4cccc3ccc1c2c34,-0.22
3.6.7,Cc1cc[n+]2CCC[n+]4ccc(C)c3ccc1c2c34,-0.4
3.6.9,c1cc2ccc3ccc[n+]4CCCC[n+](c1)c2c34,-0.45
3.6.10,C[n+]4c(c2ccc1ccccc1[n+]2C)ccc3ccccc34,-0.25
3.7.1,C[n+]2ccc(c1cccc[n+]1C)cc2,-0.64
3.8.2,C[n+]2ccc(c1cc[n+](C)cc1)cc2,-0.45
3.8.3,CO[n+]2ccc(c1cc[n+](OC)cc1)cc2,-0.651
3.8.4,N#CC[n+]2ccc(c1cc[n+](CC#N)cc1)cc2,-0.15
3.8.5,O=C(O)C[n+]2ccc(c1cc[n+](CC(=O)O)cc1)cc2,-0.444
3.8.7,ClCC[n+]2ccc(c1cc[n+](CCCl)cc1)cc2,-0.335
3.8.8,NC(=O)C[n+]2ccc(c1cc[n+](CC(N)=O)cc1)cc2,-0.296
3.8.9,O/N=C/C[n+]2ccc(c1cc[n+](C/C=N/O)cc1)cc2,-0.325
3.8.10,CC[n+]2ccc(c1cc[n+](CC)cc1)cc2,-0.451
3.8.11,OCC[n+]2ccc(c1cc[n+](CCO)cc1)cc2,-0.4
3.8.12,NCC[n+]2ccc(c1cc[n+](CCN)cc1)cc2,-0.28
3.8.13,C#CC[n+]2ccc(c1cc[n+](CC#C)cc1)cc2,-0.435
3.8.15,C=CC[n+]2ccc(c1cc[n+](CC=C)cc1)cc2,-0.408
3.8.20,CC(C)[n+]2ccc(c1cc[n+](C(C)C)cc1)cc2,-0.45
3.8.22,N#CCCC[n+]2ccc(c1cc[n+](CCCC#N)cc1)cc2,-0.362
3.9.1,Cc2cc(c1cc[n+](C)cc1)cc[n+]2C,-0.5
3.9.2,CC[n+]2ccc(c1cc[n+](CC)c(C)c1)cc2,-0.51
3.9.3,CCC[n+]2ccc(c1cc[n+](CCC)c(C)c1)cc2,-0.5
3.9.4,C[n+]2ccc(c1cc[n+](C)c(C#N)c1)cc2C#N,0.09
3.9.5,Cc2cc(c1cc[n+](C)c(C)c1)cc[n+]2C,-0.552
3.9.6,Cc1c[n+](C)ccc1c2cc[n+](C)cc2C,-0.83
3.9.7,Cc2cc(c1cc(C)[n+](C)c(C)c1)cc(C)[n+]2C,-0.64
3.9.10,Cc2cc(c1cc[n+](CC#N)c(C)c1)cc[n+]2CC#N,-0.14
3.9.12,Cc2cc(c1cc[n+](CCO)c(C)c1)cc[n+]2CCO,-0.481
3.9.13,CC(=O)C[n+]2ccc(c1cc[n+](CC(C)=O)c(C)c1)cc2C,-0.356
3.10.1,C[n+]2ccc(c1ccn(=O)cc1)cc2,-0.49
3.10.2,C[n+]2ccc(c1cc[n+](CC#N)cc1)cc2,-0.287
3.10.3,C[n+]2ccc(c1cc[n+](CC(N)=O)cc1)cc2,-0.371
3.10.4,C[n+]2ccc(c1cc[n+](CCO)cc1)cc2,-0.422
