codes,CHG,smiles,pot
CHEMBL1317605,0,CC(C)(C)c1ccc(C(=O)NCCN2CCOCC2)cc1,-2.29178417831213
CHEMBL1319734,0,C/C(=C\C(=O)c1ccc(Cl)cc1Cl)N(C)C,-1.48035625453783
CHEMBL132066,0,CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1cccnc1,-2.78970765662635
CHEMBL1321717,0,CCOC(=O)/C=C/c1cnn(-c2ccccc2)c1,-1.79588435480778
CHEMBL132225,0,NC(N)=Nc1cc(N=C(N)N)cc(C(=O)O)c1,-1.86119690134987
CHEMBL1325167,0,CCCCNC(=O)Nc1ccnn1C1CCCCC1,-3.37377865099534
CHEMBL1327715,0,Nc1ccc(-c2nc3cc(N)ccc3s2)cc1,-2.07655436675478
CHEMBL1328132,0,Cc1ccc(/C=C/C(=O)NCCc2ccccc2)o1,-1.81057441971255
CHEMBL1330037,0,Cc1ccccc1NC(=O)CCOc1ccccc1,-2.9680141905264
CHEMBL1330197,0,NC(=NO)c1ccc(NC(=O)c2cccs2)cc1,-1.83829238049962
CHEMBL1330667,0,COc1ccc(S(=O)(=O)N2CCCC2)c(C)c1C,-1.99150677692249
CHEMBL133096,0,NC(=O)c1cccc2[nH]c(C(F)(F)F)nc12,-1.86235398382952
CHEMBL1332650,0,CC1(C)C=C(c2ccc(C=O)s2)CC(C)(C)N1C=O,-1.3681562602819
CHEMBL1332894,0,Cc1cnc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cn1,-1.51697544867076
CHEMBL1333047,0,O=C1c2ccccc2C(=O)C1c1ccncc1,-0.92080571224618
CHEMBL1333983,0,Cc1[nH]c2ccccc2c1CN1CCc2ccccc2C1,-3.12542957497719
CHEMBL1334751,0,CCOc1ccc(Cc2nnc(N)s2)cc1OCC,-3.00376371372807
CHEMBL1335546,0,CCCc1ccc(-c2cc(N)[nH]n2)cc1,-2.57188153639006
CHEMBL1335592,0,Cc1c(C)c2ccc(OS(C)(=O)=O)c(C)c2oc1=O,-1.58780359339046
CHEMBL1335594,0,COc1ccc(CNC(=O)Nc2ccc(C)c(C)c2)cc1,-3.269014509478
CHEMBL1335903,0,CCCCCc1ccc(C2=NNC(=O)CC2)cc1,-2.13017931707519
CHEMBL1335957,0,O=C(NC(=S)NC1CCCC1)c1ccccc1,-1.49871109564093
CHEMBL13365,0,COC(=O)c1ccccc1OCC(O)CNC(C)(C)C,-2.05103304366238
CHEMBL1338643,0,CN1CCCC(OC(=O)c2cccc(Cl)c2)C1,-1.78362260170635
CHEMBL1339045,0,Nc1c(N2CCCCC2)c2ccccc2oc1=O,-1.78021102151181
CHEMBL1340984,0,Cc1nc2[nH]c(=S)n(C)c(=O)c2nc1C,-1.29936814243764
CHEMBL1343100,0,Cn1c(=O)c2c(O)cc(N)nc2n(C)c1=O,-2.40441166854376
CHEMBL1343302,0,O=C(Nc1ccc(F)cc1)Nc1cnccn1,-1.85220240565727
CHEMBL1343394,0,CCOC(=O)c1csc(NC(=O)c2ccccc2)n1,-1.7870123956244
CHEMBL1343398,0,CN1CCN(c2nc3ccccn3c(=O)c2C=O)CC1,-1.29411666223676
CHEMBL1344803,0,O=C(Nc1ccccc1)c1cccc(N2CCCC2=O)c1,-1.95078495174647
CHEMBL1346463,0,COC(CNC(=O)c1cc(C)nn1-c1ccccc1)OC,-2.07077592564976
CHEMBL1346749,0,N#C/C(=C\c1ccco1)C(=O)Nn1cnnc1,-0.97207380479837
CHEMBL1347098,0,Cn1c(=O)c2c(nc3n2CC(CO)O3)n(C)c1=O,-2.53006559205766
CHEMBL1347495,0,COc1ccc(CCn2c(C)ccc2C)cc1OC,-3.36654645623477
CHEMBL1347704,0,Cc1ccccc1C1CCCN(Cc2nc(C3CC3)no2)C1,-2.61983222694604
CHEMBL1347741,0,O=C(CN1CCCCCC1)Nc1ccc(F)c(F)c1,-2.90826682391455
CHEMBL1347964,0,COc1c2ccccc2c(OC)c2ccccc12,-1.72423227397396
CHEMBL1348309,0,Cc1ccc2[nH]cc(CCNC(=O)C3CCCCC3)c2c1,-3.35142172678126
CHEMBL1348576,0,O=C1NC(=S)N(C2CC2)C(=O)/C1=C/NCC1CCCO1,-1.7365312796631
CHEMBL1349178,0,N#Cc1nc(-c2ccccc2Cl)oc1N1CCOCC1,-1.96773450993121
CHEMBL1349937,0,CC(=O)Nc1nc(-c2ccc(Cl)cc2)ns1,-1.99578219695793
CHEMBL1351094,0,N=C1c2ccccc2CN1NC(=O)c1ccccc1,-2.12844513663673
CHEMBL1351328,0,CC(=O)Oc1ccc(-c2nc3ccccc3c(=O)o2)cc1,-1.6000029132863
CHEMBL1351743,0,COc1ccccc1N=C(S)Nc1cccc(F)c1,-2.25145230737294
CHEMBL1351786,0,CCN(CC)CCOc1ccccc1OC,-3.22397087351523
CHEMBL1351810,0,CCCC(C)NC(=O)c1ccc2[nH]c3c(c2c1)CC(C)CC3,-2.52492498453335
CHEMBL1352274,0,COc1ccc2oc(C(=O)NCc3ccco3)c(C)c2c1,-1.94445661813203
CHEMBL1353362,0,Cc1cccc(NC(=O)Nc2cc(C)cc(C)n2)c1,-2.95577284231556
CHEMBL1353408,0,Nc1nonc1-c1nc2ccccc2n1Cc1ccccc1,-1.57733153804789
CHEMBL135366,0,CCCCC(=O)NCCC1CCc2ccc(OC)cc21,-3.56050911013239
CHEMBL1353754,0,CC(=O)c1ccc2cccc3c2c1N=CN3C,-1.84596869212242
CHEMBL1358869,0,O=C(Nc1ccccc1)C1C2CCCCC21,-2.90697824697498
CHEMBL1359352,0,Cc1c(C(=O)NN)sc(=S)n1C,-1.97555667776585
CHEMBL1360273,0,CCc1ccc(NC(=O)N2CCc3ccccc3C2)cc1,-3.06257768061592
CHEMBL1360890,0,c1csc(CN2CC[C@@]3(CCCNC3)C2)n1,-2.80832924902039
CHEMBL1361303,0,O=C(c1ccccc1Cl)N1CCSCC1,-2.32706112841844
CHEMBL1361343,0,O=C(c1cc(-c2ccccc2O)on1)N1CCOCC1,-1.9001504970855
CHEMBL136356,0,C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)C3=C[C@H]12,-1.75564917950722
